Model,Params_M,Is_Binary,F1_max_CMF,Efficiency_CMF,F1_max_CMFV,Efficiency_CMFV,Avg_Efficiency
WEBRTC,0.01,True,0.708084428514536,70.8084428514536,0.758893280632411,75.8893280632411,73.34888545734735
SILERO,0.5,False,0.8061349693251534,1.6122699386503068,0.9717305151915456,1.9434610303830913,1.777865484516699
EPANNS,24.0,False,0.8466666666666667,0.035277777777777776,0.9717305151915456,0.040488771466314404,0.03788327462204609
WHISPER TINY,39.0,True,0.6684397163120568,0.017139479905437353,0.6752966558791802,0.017315298868696927,0.017227389387067138
PANNS,81.0,False,0.8483792262112234,0.010473817607545968,0.9717305151915456,0.011996673027056119,0.011235245317301044
AST,88.0,False,0.8601525608427171,0.00977446091866724,0.9717305151915456,0.011042392218085745,0.010408426568376494
PASST,90.0,False,0.8614627285513361,0.009571808095014846,0.9717305151915456,0.010797005724350507,0.010184406909682676
WHISPER SMALL,74.0,True,0.6539627544391512,0.008837334519447989,0.6880733944954128,0.009298289114802877,0.009067811817125432
